latitude,longitude,name,description,address,postalCode,city,email,url,image,category
51.044403948058125, 4.462878046483174, A.S. Adventure - Mechelen, Adventure park in Mechelen, ondgenotenlaan 100, 3000, Leuven, asadventure@gmail.com, https://www.asadventure.be, https://www.asadventure.com/content/dam/asadventure/logo/default.png/_jcr_content/renditions/cq5dam.thumbnail.320.320.png, avonturieren
50.95463679437567, 4.331652922621441, A.S. Adventure - Meise, Adventure park in Meise, ondgenotenlaan 100, 3000, Leuven, asadventure@gmail.com, https://www.asadventure.be, https://www.asadventure.com/content/dam/asadventure/logo/default.png/_jcr_content/renditions/cq5dam.thumbnail.320.320.png, avonturieren
51.00481530158107, 4.794345228567369, Boels Verhuur N.V. Aarschot, Boels Verhuur N.V. Aarschot, ondgenotenlaan 100, 3000, Leuven, boels@boels.be, https://www.boels.be, https://www.boels.be/content/dam/boels/logo/default.png/_jcr_content/renditions/cq5dam.thumbnail.320.320.png, klussen
51.220185, 4.401108, A.S. Adventure - Antwerpen, Adventure store in the heart of Antwerp, Meir 24, 2000, Antwerpen, antwerpen@asadventure.be, https://www.asadventure.be, https://www.asadventure.com/content/dam/asadventure/logo/default.png/_jcr_content/renditions/cq5dam.thumbnail.320.320.png, sporten
50.879844, 4.700518, A.S. Adventure - Leuven, Adventure paradise Leuven, Bondgenotenlaan 100, 3000, Leuven, leuven@asadventure.be, https://www.asadventure.be, https://www.asadventure.com/content/dam/asadventure/logo/default.png/_jcr_content/renditions/cq5dam.thumbnail.320.320.png, sporten
51.054342, 3.717424, A.S. Adventure - Gent, Outdoor & adventure shop in Ghent, Veldstraat 33, 9000, Gent, gent@asadventure.be, https://www.asadventure.be, https://www.asadventure.com/content/dam/asadventure/logo/default.png/_jcr_content/renditions/cq5dam.thumbnail.320.320.png, sporten
50.822530, 4.390949, Boels Verhuur N.V. Brussel, Boels Verhuur N.V. Brussel, Auguste Reyerslaan 80, 1030, Brussel, brussel@boels.be, https://www.boels.be, https://www.boels.be/content/dam/boels/logo/default.png/_jcr_content/renditions/cq5dam.thumbnail.320.320.png, klussen
51.167102, 4.516667, Bike Republic Wijnegem, Fietsenspecialist in Wijnegem, Turnhoutsebaan 5, 2110, Wijnegem, info@bikerepublic.be, https://www.bikerepublic.be, https://www.bikerepublic.be/assets/logo.png, fietsen
50.928818, 4.372115, Bike Republic Vilvoorde, Bike Republic winkel in Vilvoorde, Leuvensesteenweg 93, 1800, Vilvoorde, vilvoorde@bikerepublic.be, https://www.bikerepublic.be, https://www.bikerepublic.be/assets/logo.png, fietsen
51.363138, 4.460188, Boels Verhuur N.V. Brasschaat, Boels verhuur voor elke klus, Bredabaan 858, 2930, Brasschaat, brasschaat@boels.be, https://www.boels.be, https://www.boels.be/content/dam/boels/logo/default.png/_jcr_content/renditions/cq5dam.thumbnail.320.320.png, verbouwen
50.862102, 4.357234, Fiets! Jette, Fietsenwinkel Jette, Jean-Baptiste Serkeynstraat 19, 1090, Jette, jette@fiets.be, https://www.fiets.be, https://www.fiets.be/logo.png, fietsen
50.941118, 4.043304, Boels Verhuur N.V. Aalst, Boels verhuur in Aalst, Industrielaan 4, 9320, Aalst, aalst@boels.be, https://www.boels.be, https://www.boels.be/content/dam/boels/logo/default.png/_jcr_content/renditions/cq5dam.thumbnail.320.320.png, klussen
